['(819267', ' 994', ' 10', ' 5', ' 22', ' 0.209110826253891', ' 0.06191142275929451', ' -0.10934233665466309']	1481256310.999204	1481256310.999281
['(819270', ' 19', ' 11', ' 5', ' 22', ' 0.2091148942708969', ' 0.06195902079343796', ' -0.109390027821064']	1481256311.019202	1481256311.019241
['(819272', ' 35', ' 11', ' 5', ' 22', ' 0.20906977355480194', ' 0.06188460439443588', ' -0.10926654189825058']	1481256311.039176	1481256311.039202
['(819275', ' 60', ' 11', ' 5', ' 22', ' 0.20909084379673004', ' 0.06188197061419487', ' -0.10930398851633072']	1481256311.059189	1481256311.059253
['(819277', ' 77', ' 11', ' 5', ' 22', ' 0.20908264815807343', ' 0.061906278133392334', ' -0.10928235203027725']	1481256311.079220	1481256311.079319
['(819279', ' 94', ' 11', ' 5', ' 22', ' 0.20909234881401062', ' 0.06190476566553116', ' -0.10933670401573181']	1481256311.099242	1481256311.099311
['(819282', ' 119', ' 11', ' 5', ' 22', ' 0.20903247594833374', ' 0.061911050230264664', ' -0.10936380922794342']	1481256311.119238	1481256311.119333
['(819284', ' 135', ' 11', ' 5', ' 22', ' 0.2090938240289688', ' 0.06188002601265907', ' -0.10927556455135345']	1481256311.139229	1481256311.139303
['(819286', ' 152', ' 11', ' 5', ' 22', ' 0.20911376178264618', ' 0.06191830709576607', ' -0.10938776284456253']	1481256311.159216	1481256311.159286
['(819289', ' 177', ' 11', ' 5', ' 22', ' 0.20909878611564636', ' 0.061860375106334686', ' -0.10931294411420822']	1481256311.179707	1481256311.179760
['(819291', ' 193', ' 11', ' 5', ' 22', ' 0.20912401378154755', ' 0.06192554906010628', ' -0.10937454551458359']	1481256311.199204	1481256311.199265
['(819294', ' 218', ' 11', ' 5', ' 22', ' 0.2091088891029358', ' 0.06191815435886383', ' -0.10937729477882385']	1481256311.219329	1481256311.219377
['(819296', ' 235', ' 11', ' 5', ' 22', ' 0.2091061919927597', ' 0.06185478717088699', ' -0.10933363437652588']	1481256311.239755	1481256311.239838
['(819298', ' 252', ' 11', ' 5', ' 22', ' 0.2090950310230255', ' 0.06191931664943695', ' -0.10937497764825821']	1481256311.259227	1481256311.259298
['(819301', ' 277', ' 11', ' 5', ' 22', ' 0.20909833908081055', ' 0.061878982931375504', ' -0.10931562632322311']	1481256311.279811	1481256311.279896
['(819302', ' 285', ' 11', ' 5', ' 22', ' 0.20904934406280518', ' 0.06194494292140007', ' -0.1093553751707077']	1481256311.299243	1481256311.299339
['(819302', ' 285', ' 11', ' 5', ' 22', ' 0.20904934406280518', ' 0.06194494292140007', ' -0.1093553751707077']	1481256311.319221	1481256311.319296
['(819308', ' 335', ' 11', ' 5', ' 22', ' 0.20910540223121643', ' 0.06187800318002701', ' -0.10932527482509613']	1481256311.339349	1481256311.339424
['(819310', ' 352', ' 11', ' 5', ' 22', ' 0.2091028094291687', ' 0.06192384660243988', ' -0.10938381403684616']	1481256311.359210	1481256311.359280
['(819311', ' 360', ' 11', ' 5', ' 22', ' 0.20909306406974792', ' 0.06192689761519432', ' -0.1093534380197525']	1481256311.379219	1481256311.379312
['(819315', ' 394', ' 11', ' 5', ' 22', ' 0.2090495377779007', ' 0.06193174049258232', ' -0.10939477384090424']	1481256311.399720	1481256311.399813
['(819318', ' 419', ' 11', ' 5', ' 22', ' 0.20902711153030396', ' 0.0619313083589077', ' -0.10933415591716766']	1481256311.419271	1481256311.419348
['(819320', ' 435', ' 11', ' 5', ' 22', ' 0.20902615785598755', ' 0.06188815087080002', ' -0.1093088686466217']	1481256311.439205	1481256311.439274
['(819322', ' 452', ' 11', ' 5', ' 22', ' 0.20901848375797272', ' 0.061939261853694916', ' -0.10931118577718735']	1481256311.459212	1481256311.459287
['(819325', ' 477', ' 11', ' 5', ' 22', ' 0.20908968150615692', ' 0.06188329681754112', ' -0.10929454863071442']	1481256311.479235	1481256311.479308
['(819327', ' 494', ' 11', ' 5', ' 22', ' 0.209074005484581', ' 0.06196026876568794', ' -0.10929331928491592']	1481256311.499280	1481256311.499362
['(819330', ' 519', ' 11', ' 5', ' 22', ' 0.20906995236873627', ' 0.06194756552577019', ' -0.10931139439344406']	1481256311.519216	1481256311.519284
['(819332', ' 535', ' 11', ' 5', ' 22', ' 0.20906952023506165', ' 0.06190354377031326', ' -0.10929661244153976']	1481256311.539205	1481256311.539274
['(819335', ' 560', ' 11', ' 5', ' 22', ' 0.20907063782215118', ' 0.06198204681277275', ' -0.10928850620985031']	1481256311.559645	1481256311.559722
['(819337', ' 577', ' 11', ' 5', ' 22', ' 0.20909515023231506', ' 0.0618956983089447', ' -0.10928473621606827']	1481256311.579211	1481256311.579278
['(819339', ' 593', ' 11', ' 5', ' 22', ' 0.2091062217950821', ' 0.061973296105861664', ' -0.10936177521944046']	1481256311.599401	1481256311.599480
['(819342', ' 618', ' 11', ' 5', ' 22', ' 0.2090650349855423', ' 0.06193637475371361', ' -0.10929841548204422']	1481256311.619214	1481256311.619294
['(819344', ' 635', ' 11', ' 5', ' 22', ' 0.20908212661743164', ' 0.06191632151603699', ' -0.10931126773357391']	1481256311.639213	1481256311.639282
['(819347', ' 660', ' 11', ' 5', ' 22', ' 0.20901113748550415', ' 0.06195587292313576', ' -0.10936547070741653']	1481256311.659470	1481256311.659569
['(819349', ' 677', ' 11', ' 5', ' 22', ' 0.20910592377185822', ' 0.061918459832668304', ' -0.1093052327632904']	1481256311.679728	1481256311.679816
['(819351', ' 694', ' 11', ' 5', ' 22', ' 0.20902852714061737', ' 0.06197484955191612', ' -0.10934630036354065']	1481256311.699290	1481256311.699368
['(819354', ' 719', ' 11', ' 5', ' 22', ' 0.20900188386440277', ' 0.061945054680109024', ' -0.1092790812253952']	1481256311.719208	1481256311.719278
['(819356', ' 735', ' 11', ' 5', ' 22', ' 0.2091256082057953', ' 0.06192820146679878', ' -0.10935895144939423']	1481256311.739201	1481256311.739246
['(819359', ' 760', ' 11', ' 5', ' 22', ' 0.20900623500347137', ' 0.06195679306983948', ' -0.10929660499095917']	1481256311.759188	1481256311.759230
['(819361', ' 777', ' 11', ' 5', ' 22', ' 0.20910224318504333', ' 0.061888668686151505', ' -0.10934677720069885']	1481256311.779221	1481256311.779271
['(819363', ' 793', ' 11', ' 5', ' 22', ' 0.2091117799282074', ' 0.061961449682712555', ' -0.10936281830072403']	1481256311.799256	1481256311.799339
['(819366', ' 819', ' 11', ' 5', ' 22', ' 0.20900748670101166', ' 0.06193307787179947', ' -0.10930687189102173']	1481256311.819217	1481256311.819287
['(819368', ' 835', ' 11', ' 5', ' 22', ' 0.20904091000556946', ' 0.061915941536426544', ' -0.10936891287565231']	1481256311.839391	1481256311.839445
['(819370', ' 852', ' 11', ' 5', ' 22', ' 0.209115132689476', ' 0.06190602853894234', ' -0.10934633016586304']	1481256311.859268	1481256311.859357
['(819373', ' 877', ' 11', ' 5', ' 22', ' 0.2090814709663391', ' 0.061887919902801514', ' -0.10926228016614914']	1481256311.879348	1481256311.879412
['(819375', ' 894', ' 11', ' 5', ' 22', ' 0.2090744823217392', ' 0.06193527951836586', ' -0.1093311607837677']	1481256311.899211	1481256311.899276
['(819378', ' 918', ' 11', ' 5', ' 22', ' 0.2090742588043213', ' 0.06190609186887741', ' -0.10928136855363846']	1481256311.919317	1481256311.919378
['(819380', ' 935', ' 11', ' 5', ' 22', ' 0.2090948522090912', ' 0.061938732862472534', ' -0.10928401350975037']	1481256311.939204	1481256311.939261
['(819383', ' 960', ' 11', ' 5', ' 22', ' 0.20907801389694214', ' 0.06194744259119034', ' -0.10927782952785492']	1481256311.959196	1481256311.959265
['(819385', ' 977', ' 11', ' 5', ' 22', ' 0.20909970998764038', ' 0.06190136447548866', ' -0.10927893221378326']	1481256311.979217	1481256311.979279
['(819387', ' 993', ' 11', ' 5', ' 22', ' 0.2090902477502823', ' 0.061947815120220184', ' -0.10927063971757889']	1481256311.999195	1481256311.999251
['(819390', ' 19', ' 12', ' 5', ' 22', ' 0.209072083234787', ' 0.06188412755727768', ' -0.10928772389888763']	1481256312.019200	1481256312.019259
['(819392', ' 35', ' 12', ' 5', ' 22', ' 0.2090848684310913', ' 0.06193844601511955', ' -0.10928880423307419']	1481256312.039205	1481256312.039278
['(819394', ' 52', ' 12', ' 5', ' 22', ' 0.20911060273647308', ' 0.06190339848399162', ' -0.10929284244775772']	1481256312.059214	1481256312.059255
['(819397', ' 77', ' 12', ' 5', ' 22', ' 0.20908857882022858', ' 0.06188667193055153', ' -0.10928817838430405']	1481256312.079186	1481256312.079228
['(819399', ' 93', ' 12', ' 5', ' 22', ' 0.2091093361377716', ' 0.06194087862968445', ' -0.10936424136161804']	1481256312.099286	1481256312.099351
['(819402', ' 119', ' 12', ' 5', ' 22', ' 0.20909740030765533', ' 0.06188599020242691', ' -0.10928118228912354']	1481256312.119348	1481256312.119398
['(819404', ' 135', ' 12', ' 5', ' 22', ' 0.20910850167274475', ' 0.061939094215631485', ' -0.10935869067907333']	1481256312.139224	1481256312.139331
['(819406', ' 152', ' 12', ' 5', ' 22', ' 0.20911569893360138', ' 0.06190523877739906', ' -0.10934927314519882']	1481256312.159209	1481256312.159285
['(819409', ' 177', ' 12', ' 5', ' 22', ' 0.2091250866651535', ' 0.06189563497900963', ' -0.1093447282910347']	1481256312.179201	1481256312.179252
['(819411', ' 194', ' 12', ' 5', ' 22', ' 0.2091035693883896', ' 0.061919666826725006', ' -0.10936184972524643']	1481256312.199204	1481256312.199278
['(819414', ' 218', ' 12', ' 5', ' 22', ' 0.20910295844078064', ' 0.061895471066236496', ' -0.10932310670614243']	1481256312.219210	1481256312.219285
['(819416', ' 235', ' 12', ' 5', ' 22', ' 0.2091047167778015', ' 0.061938345432281494', ' -0.1093616634607315']	1481256312.239196	1481256312.239240
['(819418', ' 252', ' 12', ' 5', ' 22', ' 0.20911313593387604', ' 0.06188134476542473', ' -0.10934796929359436']	1481256312.259204	1481256312.259321
['(819421', ' 277', ' 12', ' 5', ' 22', ' 0.20910422503948212', ' 0.061881303787231445', ' -0.10932726413011551']	1481256312.279216	1481256312.279295
['(819423', ' 293', ' 12', ' 5', ' 22', ' 0.20911642909049988', ' 0.06193212792277336', ' -0.10938198119401932']	1481256312.299239	1481256312.299324
['(819426', ' 318', ' 12', ' 5', ' 22', ' 0.20910649001598358', ' 0.06187937408685684', ' -0.10932563990354538']	1481256312.319273	1481256312.319339
['(819428', ' 335', ' 12', ' 5', ' 22', ' 0.2091284543275833', ' 0.061967168003320694', ' -0.10938143730163574']	1481256312.339196	1481256312.339243
['(819428', ' 335', ' 12', ' 5', ' 22', ' 0.2091284543275833', ' 0.061967168003320694', ' -0.10938143730163574']	1481256312.359206	1481256312.359255
['(819428', ' 335', ' 12', ' 5', ' 22', ' 0.2091284543275833', ' 0.061967168003320694', ' -0.10938143730163574']	1481256312.379217	1481256312.379321
['(819434', ' 385', ' 12', ' 5', ' 22', ' 0.20911553502082825', ' 0.0618891678750515', ' -0.10936643183231354']	1481256312.399230	1481256312.399323
['(819437', ' 410', ' 12', ' 5', ' 22', ' 0.20910468697547913', ' 0.061892151832580566', ' -0.10934782028198242']	1481256312.419263	1481256312.419352
['(819440', ' 435', ' 12', ' 5', ' 22', ' 0.20911218225955963', ' 0.061937835067510605', ' -0.1094038113951683']	1481256312.439222	1481256312.439289
['(819443', ' 460', ' 12', ' 5', ' 22', ' 0.2090531438589096', ' 0.06192455440759659', ' -0.1093933954834938']	1481256312.459206	1481256312.459257
['(819445', ' 477', ' 12', ' 5', ' 22', ' 0.209098681807518', ' 0.06190960854291916', ' -0.10938592255115509']	1481256312.479189	1481256312.479230
['(819447', ' 494', ' 12', ' 5', ' 22', ' 0.20906727015972137', ' 0.061934564262628555', ' -0.10940410941839218']	1481256312.499191	1481256312.499277
['(819450', ' 519', ' 12', ' 5', ' 22', ' 0.2091207653284073', ' 0.061894383281469345', ' -0.10932046920061111']	1481256312.519200	1481256312.519276
['(819452', ' 535', ' 12', ' 5', ' 22', ' 0.2091299146413803', ' 0.061961933970451355', ' -0.10938820987939835']	1481256312.539210	1481256312.539272
['(819455', ' 560', ' 12', ' 5', ' 22', ' 0.20904091000556946', ' 0.06193063035607338', ' -0.10932726413011551']	1481256312.559421	1481256312.559482
