hello :-)!	Time Interval: 1481252720.073885	Running Time: 0.000000
(388360, 902, 19, 5, 21, 0.21047022938728333, 0.05804537609219551, 0.010428417474031448, 0.0005627417704090476, 0.0005728081450797617, -0.0020936578512191772, 0.9999974966049194)	Time Interval: 0.007029	Running Time: 0.007029
(388361, 910, 19, 5, 21, 0.21046970784664154, 0.05800908803939819, 0.010428743436932564, 0.0006267246208153665, 0.0005767170805484056, -0.0021874785888940096, 0.9999972581863403)	Time Interval: 0.008012	Running Time: 0.015041
(388362, 918, 19, 5, 21, 0.21045587956905365, 0.05806635692715645, 0.010420862585306168, 0.000516828615218401, 0.0005777952028438449, -0.0021338919177651405, 0.9999974966049194)	Time Interval: 0.008160	Running Time: 0.023201
(388363, 927, 19, 5, 21, 0.21038009226322174, 0.058171600103378296, 0.01050166692584753, -0.00018486526096239686, 0.0004062008229084313, -0.002025783061981201, 0.9999978542327881)	Time Interval: 0.009158	Running Time: 0.032359
(388364, 935, 19, 5, 21, 0.2104521542787552, 0.05805230140686035, 0.010392698459327221, 0.0005099939298816025, 0.0005536774406209588, -0.0020970962941646576, 0.999997615814209)	Time Interval: 0.008129	Running Time: 0.040488
(388365, 944, 19, 5, 21, 0.21045616269111633, 0.0580345094203949, 0.010395703837275505, 0.0005387646378949285, 0.0005602322053164244, -0.0021373231429606676, 0.9999974370002747)	Time Interval: 0.008557	Running Time: 0.049045
(388366, 952, 19, 5, 21, 0.2104119509458542, 0.05815991386771202, 0.010509517975151539, -0.00013919830962549895, 0.000393931579310447, -0.002034503733739257, 0.9999979138374329)	Time Interval: 0.008244	Running Time: 0.057289
(388367, 960, 19, 5, 21, 0.21039459109306335, 0.05818811431527138, 0.010513273999094963, -0.00013860805484000593, 0.0004048882401548326, -0.002033484634011984, 0.9999979138374329)	Time Interval: 0.008421	Running Time: 0.065710
(388368, 969, 19, 5, 21, 0.21047544479370117, 0.05801912024617195, 0.010412436909973621, 0.0005514128715731204, 0.000595690740738064, -0.002224239055067301, 0.9999972581863403)	Time Interval: 0.008417	Running Time: 0.074127
(388369, 977, 19, 5, 21, 0.21046286821365356, 0.05804281681776047, 0.010401892475783825, 0.0005399374640546739, 0.0005510588525794446, -0.002029312774538994, 0.9999976754188538)	Time Interval: 0.008189	Running Time: 0.082316
(388370, 985, 19, 5, 21, 0.21039673686027527, 0.058142922818660736, 0.010491747409105301, -4.68314356112387e-05, 0.00042309844866394997, -0.002045639790594578, 0.9999979138374329)	Time Interval: 0.009024	Running Time: 0.091340
(388371, 994, 19, 5, 21, 0.21037352085113525, 0.05819763243198395, 0.010501418262720108, -5.0670510972850025e-05, 0.00038378845783881843, -0.0019212864572182298, 0.9999980926513672)	Time Interval: 0.008190	Running Time: 0.099530
(388372, 2, 20, 5, 21, 0.21045371890068054, 0.058034855872392654, 0.010395726189017296, 0.0005190052906982601, 0.0005690041580237448, -0.0021084907930344343, 0.9999974966049194)	Time Interval: 0.008349	Running Time: 0.107879
(388373, 10, 20, 5, 21, 0.2104782611131668, 0.058018386363983154, 0.010415039025247097, 0.0005447607254609466, 0.0005850801826454699, -0.002126114210113883, 0.9999974370002747)	Time Interval: 0.007449	Running Time: 0.115328
(388374, 18, 20, 5, 21, 0.2104618400335312, 0.058055419474840164, 0.010408147238194942, 0.0005575690302066505, 0.0005820137448608875, -0.0021326185669749975, 0.9999974966049194)	Time Interval: 0.008561	Running Time: 0.123889
(388375, 27, 20, 5, 21, 0.21040038764476776, 0.058167167007923126, 0.010506788268685341, -0.00011568535410333425, 0.0003776853845920414, -0.002059455029666424, 0.9999978542327881)	Time Interval: 0.008483	Running Time: 0.132372
(388376, 35, 20, 5, 21, 0.21046096086502075, 0.05802536755800247, 0.010408512316644192, 0.0006141663761809468, 0.0005732211866416037, -0.00218272116035223, 0.9999972581863403)	Time Interval: 0.008526	Running Time: 0.140898
(388377, 44, 20, 5, 21, 0.21046169102191925, 0.05802624300122261, 0.010394806042313576, 0.0005183388129808009, 0.0005751271382905543, -0.0021424293518066406, 0.9999974370002747)	Time Interval: 0.008351	Running Time: 0.149249
(388378, 52, 20, 5, 21, 0.21040154993534088, 0.05814504623413086, 0.010499098338186741, -7.118163193808869e-05, 0.00041307471110485494, -0.0020788477268069983, 0.9999978542327881)	Time Interval: 0.008345	Running Time: 0.157594
(388379, 60, 20, 5, 21, 0.21036897599697113, 0.05820506066083908, 0.01051925029605627, -0.00016031725681386888, 0.0004228858451824635, -0.0019327549962326884, 0.9999980926513672)	Time Interval: 0.008005	Running Time: 0.165599
(388380, 69, 20, 5, 21, 0.21044927835464478, 0.058020852506160736, 0.010412423871457577, 0.0005775446188636124, 0.0005677033914253116, -0.0021679955534636974, 0.9999973773956299)	Time Interval: 0.008491	Running Time: 0.174090
(388381, 77, 20, 5, 21, 0.21046586334705353, 0.05801140516996384, 0.010408601723611355, 0.00048205230268649757, 0.0005755718448199332, -0.0021671964786946774, 0.9999973773956299)	Time Interval: 0.008285	Running Time: 0.182375
(388382, 85, 20, 5, 21, 0.21046067774295807, 0.05805165693163872, 0.010383752174675465, 0.00046884099720045924, 0.0005672666011378169, -0.002108567161485553, 0.9999974966049194)	Time Interval: 0.008367	Running Time: 0.190742
(388383, 93, 20, 5, 21, 0.2103767693042755, 0.05817899480462074, 0.010503804311156273, -0.00013947558181826025, 0.00041024634265340865, -0.0020446840208023787, 0.9999978542327881)	Time Interval: 0.008379	Running Time: 0.199121
(388384, 102, 20, 5, 21, 0.2104557603597641, 0.05804359167814255, 0.010401099920272827, 0.0005630500381812453, 0.0005819541402161121, -0.002118788892403245, 0.9999974966049194)	Time Interval: 0.008613	Running Time: 0.207734
(388385, 110, 20, 5, 21, 0.2104645073413849, 0.05802980810403824, 0.010402422398328781, 0.0005600870936177671, 0.0005432152538560331, -0.0021169567480683327, 0.9999974966049194)	Time Interval: 0.007489	Running Time: 0.215223
(388386, 119, 20, 5, 21, 0.2104584127664566, 0.05806182324886322, 0.010401349514722824, 0.0005706718075089157, 0.0005770227289758623, -0.002109117805957794, 0.9999974966049194)	Time Interval: 0.008567	Running Time: 0.223790
(388387, 127, 20, 5, 21, 0.2103828489780426, 0.05818468704819679, 0.01052703894674778, -0.00017253666010219604, 0.000414661830291152, -0.0020241125021129847, 0.9999978542327881)	Time Interval: 0.008504	Running Time: 0.232294
(388388, 135, 20, 5, 21, 0.2104582041501999, 0.058053288608789444, 0.010419657453894615, 0.0005926192970946431, 0.0005742914509028196, -0.0020748977549374104, 0.9999975562095642)	Time Interval: 0.009404	Running Time: 0.241698
(388389, 144, 20, 5, 21, 0.21044716238975525, 0.058035269379615784, 0.010408452711999416, 0.0006128883687779307, 0.0006167134270071983, -0.001961375353857875, 0.9999977350234985)	Time Interval: 0.007771	Running Time: 0.249469
(388390, 152, 20, 5, 21, 0.2104366272687912, 0.05806718021631241, 0.010405112989246845, 0.0005645954515784979, 0.0005932426429353654, -0.001985384849831462, 0.9999977350234985)	Time Interval: 0.008502	Running Time: 0.257971
(388391, 160, 20, 5, 21, 0.21037323772907257, 0.05816074088215828, 0.010489949956536293, -0.00016818405129015446, 0.0004177067312411964, -0.0020242342725396156, 0.9999979138374329)	Time Interval: 0.007773	Running Time: 0.265744
(388392, 169, 20, 5, 21, 0.21045421063899994, 0.05801893770694733, 0.010400156490504742, 0.0006382348947227001, 0.0005722487694583833, -0.0021875351667404175, 0.9999972581863403)	Time Interval: 0.008322	Running Time: 0.274066
