hello :-)!	Time Interval: 1479086849.711410	Running Time: 0.000000
[(1.6288124322891235,)]	Time Interval: 0.008380	Running Time: 0.472404
[(0.7691099047660828,)]	Time Interval: 0.002113	Running Time: 0.474517
[(1.6287896633148193,), (0.7688390612602234,)]	Time Interval: 0.006579	Running Time: 0.481096
[(1.6287480592727661,), (0.769161581993103,)]	Time Interval: 0.007954	Running Time: 0.489050
[(1.6287163496017456,)]	Time Interval: 0.008646	Running Time: 0.497696
[(0.7691723108291626,)]	Time Interval: 0.001949	Running Time: 0.499645
[(1.6286739110946655,), (0.7693783044815063,)]	Time Interval: 0.006988	Running Time: 0.506633
[(1.6287050247192383,), (0.7687695026397705,)]	Time Interval: 0.007555	Running Time: 0.514188
[(1.628610610961914,)]	Time Interval: 0.008817	Running Time: 0.523005
[(0.769132673740387,)]	Time Interval: 0.000038	Running Time: 0.523043
[(1.6286128759384155,), (0.7687320113182068,)]	Time Interval: 0.008076	Running Time: 0.531119
[(1.6286238431930542,), (0.7688848972320557,)]	Time Interval: 0.008024	Running Time: 0.539143
[(1.6286163330078125,)]	Time Interval: 0.008756	Running Time: 0.547899
[(0.7688242793083191,)]	Time Interval: 0.001920	Running Time: 0.549819
[(1.6286251544952393,), (0.7691640257835388,)]	Time Interval: 0.005949	Running Time: 0.555768
[(1.628631353378296,), (0.7687752842903137,)]	Time Interval: 0.008909	Running Time: 0.564677
[(1.6286706924438477,)]	Time Interval: 0.008244	Running Time: 0.572921
[(0.7688016295433044,)]	Time Interval: 0.000038	Running Time: 0.572959
[(1.6292041540145874,), (0.7688618898391724,)]	Time Interval: 0.008068	Running Time: 0.581027
[(1.6287564039230347,), (0.7686763405799866,)]	Time Interval: 0.012859	Running Time: 0.593886
[(1.6287178993225098,)]	Time Interval: 0.006435	Running Time: 0.600321
[(0.7689415216445923,)]	Time Interval: 0.000040	Running Time: 0.600361
[(1.627600908279419,), (0.768953263759613,)]	Time Interval: 0.005529	Running Time: 0.605890
[(1.6287506818771362,), (0.7687692046165466,)]	Time Interval: 0.008151	Running Time: 0.614041
[(1.6287293434143066,)]	Time Interval: 0.008464	Running Time: 0.622505
[(0.7688094973564148,)]	Time Interval: 0.000175	Running Time: 0.622680
[(1.6287294626235962,), (0.7688044309616089,)]	Time Interval: 0.008499	Running Time: 0.631179
[(1.6287025213241577,), (0.769112765789032,)]	Time Interval: 0.008152	Running Time: 0.639331
[(1.6287198066711426,)]	Time Interval: 0.008535	Running Time: 0.647866
[(0.7689481377601624,)]	Time Interval: 0.000056	Running Time: 0.647922
[(1.6286975145339966,), (0.768828809261322,)]	Time Interval: 0.007921	Running Time: 0.655843
[(1.6286871433258057,), (0.7691048383712769,)]	Time Interval: 0.008494	Running Time: 0.664337
[(1.6287074089050293,)]	Time Interval: 0.008099	Running Time: 0.672436
[(0.7686026096343994,)]	Time Interval: 0.001909	Running Time: 0.674345
[(1.6286540031433105,), (0.7690668106079102,)]	Time Interval: 0.006426	Running Time: 0.680771
[(1.6286433935165405,), (0.7687914371490479,)]	Time Interval: 0.008170	Running Time: 0.688941
[(1.6286332607269287,)]	Time Interval: 0.008420	Running Time: 0.697361
