hello :-)!	Running Time: 0.000000	Time Interval: 1479083686.139493
[(-0.1249573603272438,), (0.7570185661315918,), (1.706756830215454,)]	Running Time: 0.001470	Time Interval: 0.001470
[(-0.1250920295715332,), (0.7572683095932007,), (1.7067140340805054,)]	Running Time: 0.008457	Time Interval: 0.006987
[(-0.12515178322792053,), (0.7571040391921997,), (1.7066943645477295,)]	Running Time: 0.017522	Time Interval: 0.009065
[(-0.12511979043483734,), (0.7572255730628967,), (1.706716775894165,)]	Running Time: 0.025696	Time Interval: 0.008174
[(-0.12513814866542816,), (0.7573633193969727,), (1.7067077159881592,)]	Running Time: 0.033864	Time Interval: 0.008168
[(-0.12496409565210342,), (0.757016658782959,), (1.7067608833312988,)]	Running Time: 0.042495	Time Interval: 0.008631
[(-0.12432915717363358,), (0.7570803761482239,), (1.7067384719848633,)]	Running Time: 0.050983	Time Interval: 0.008488
[(-0.12427616864442825,), (0.7572702169418335,), (1.7068313360214233,)]	Running Time: 0.058913	Time Interval: 0.007930
[(-0.12448741495609283,), (0.757345974445343,), (1.7068194150924683,)]	Running Time: 0.067307	Time Interval: 0.008394
[(-0.12497762590646744,), (0.7569920420646667,), (1.7067501544952393,)]	Running Time: 0.075497	Time Interval: 0.008190
[(-0.12495151162147522,), (0.7570186853408813,), (1.7068099975585938,)]	Running Time: 0.084093	Time Interval: 0.008596
[(-0.12495005875825882,), (0.757022500038147,), (1.7068090438842773,)]	Running Time: 0.092188	Time Interval: 0.008095
[(-0.12517483532428741,), (0.757283627986908,), (1.7066879272460938,)]	Running Time: 0.100740	Time Interval: 0.008552
[(-0.12499634921550751,), (0.757022500038147,), (1.7067652940750122,)]	Running Time: 0.108699	Time Interval: 0.007959
[(-0.12501753866672516,), (0.7573188543319702,), (1.7067365646362305,)]	Running Time: 0.117326	Time Interval: 0.008627
[(-0.1250438243150711,), (0.7570726871490479,), (1.7067437171936035,)]	Running Time: 0.125670	Time Interval: 0.008344
[(-0.1250876635313034,), (0.7573303580284119,), (1.7067278623580933,)]	Running Time: 0.133957	Time Interval: 0.008287
[(-0.12514540553092957,), (0.7572715878486633,), (1.7067418098449707,)]	Running Time: 0.142479	Time Interval: 0.008522
[(-0.12457038462162018,), (0.7576714158058167,), (1.7070002555847168,)]	Running Time: 0.150762	Time Interval: 0.008283
[(-0.12515424191951752,), (0.7572399377822876,), (1.7066890001296997,)]	Running Time: 0.159071	Time Interval: 0.008309
[(-0.12499196082353592,), (0.7569913864135742,), (1.706748127937317,)]	Running Time: 0.167276	Time Interval: 0.008205
[(-0.12458743155002594,), (0.7570834755897522,), (1.7067776918411255,)]	Running Time: 0.175934	Time Interval: 0.008658
[(-0.12499303370714188,), (0.7569904327392578,), (1.7067536115646362,)]	Running Time: 0.184068	Time Interval: 0.008134
[(-0.12466343492269516,), (0.7571157217025757,), (1.7067567110061646,)]	Running Time: 0.192094	Time Interval: 0.008026
[(-0.12493973970413208,), (0.7570284008979797,), (1.7067794799804688,)]	Running Time: 0.200502	Time Interval: 0.008408
[(-0.12459657341241837,), (0.7569488883018494,), (1.7068355083465576,)]	Running Time: 0.209446	Time Interval: 0.008944
[(-0.12494327127933502,), (0.7570262551307678,), (1.7068177461624146,)]	Running Time: 0.217500	Time Interval: 0.008054
[(-0.12484867125749588,), (0.7572623491287231,), (1.706771969795227,)]	Running Time: 0.225844	Time Interval: 0.008344
[(-0.12513943016529083,), (0.7572517395019531,), (1.706722378730774,)]	Running Time: 0.234073	Time Interval: 0.008229
[(-0.12512212991714478,), (0.7572433352470398,), (1.7067111730575562,)]	Running Time: 0.242214	Time Interval: 0.008141
[(-0.12458593398332596,), (0.7573326826095581,), (1.7068309783935547,)]	Running Time: 0.250681	Time Interval: 0.008467
[(-0.1251300424337387,), (0.7570467591285706,), (1.7067170143127441,)]	Running Time: 0.258848	Time Interval: 0.008167
[(-0.1251268833875656,), (0.7569955587387085,), (1.7067283391952515,)]	Running Time: 0.267874	Time Interval: 0.009026
[(-0.12483588606119156,), (0.7572193741798401,), (1.706787109375,)]	Running Time: 0.275629	Time Interval: 0.007755
[(-0.12455577403306961,), (0.757262647151947,), (1.7067829370498657,)]	Running Time: 0.283840	Time Interval: 0.008211
[(-0.12457338720560074,), (0.7572606801986694,), (1.7067867517471313,)]	Running Time: 0.292668	Time Interval: 0.008828
[(-0.12498275935649872,), (0.757003903388977,), (1.7067716121673584,)]	Running Time: 0.300591	Time Interval: 0.007923
[(-0.12510281801223755,), (0.757311999797821,), (1.706731915473938,)]	Running Time: 0.308921	Time Interval: 0.008330
[(-0.1245959922671318,), (0.7571788430213928,), (1.7068969011306763,)]	Running Time: 0.317304	Time Interval: 0.008383
[(-0.12492579221725464,), (0.7570239305496216,), (1.7067912817001343,)]	Running Time: 0.325855	Time Interval: 0.008551
[(-0.12514318525791168,), (0.7572699189186096,), (1.7067484855651855,)]	Running Time: 0.334345	Time Interval: 0.008490
[(-0.12513191998004913,), (0.7573577165603638,), (1.7067062854766846,)]	Running Time: 0.342163	Time Interval: 0.007818
[(-0.12468361109495163,), (0.7574776411056519,), (1.7069095373153687,)]	Running Time: 0.350572	Time Interval: 0.008409
