hello :-)!	Running Time: 0.000000
[(0.03559472784399986,), (0.04505743086338043,)]	Running Time: 0.748502
[(0.036298252642154694,), (0.04507165029644966,)]	Running Time: 0.757108
[(0.036290496587753296,), (0.04507056996226311,)]	Running Time: 0.765568
[(0.03628632053732872,), (0.0450645387172699,)]	Running Time: 0.773595
[(0.036299604922533035,), (0.04506882280111313,)]	Running Time: 0.782794
[(0.03630296140909195,), (0.045080285519361496,)]	Running Time: 0.790736
[(0.0362982377409935,), (0.04516449570655823,)]	Running Time: 0.799190
[(0.035488639026880264,), (0.045069463551044464,)]	Running Time: 0.807064
[(0.03628750890493393,), (0.04506363719701767,)]	Running Time: 0.815520
[(0.036282073706388474,), (0.045068711042404175,)]	Running Time: 0.823505
[(0.03628469258546829,), (0.045064665377140045,)]	Running Time: 0.831707
[(0.03629232570528984,), (0.04521116614341736,)]	Running Time: 0.840886
[(0.035488348454236984,), (0.04529069364070892,)]	Running Time: 0.848755
[(0.03562043607234955,), (0.04524962604045868,)]	Running Time: 0.857094
[(0.03554805368185043,), (0.04534361511468887,)]	Running Time: 0.865046
[(0.035501886159181595,), (0.045074161142110825,)]	Running Time: 0.873713
[(0.03629017993807793,), (0.045188888907432556,)]	Running Time: 0.881872
[(0.03551430627703667,), (0.04507477208971977,)]	Running Time: 0.890253
[(0.036292608827352524,), (0.045294441282749176,)]	Running Time: 0.898602
[(0.03564365208148956,), (0.04507838562130928,)]	Running Time: 0.907139
[(0.03630390390753746,), (0.045075882226228714,)]	Running Time: 0.915190
[(0.03630015254020691,), (0.04508248716592789,)]	Running Time: 0.923727
[(0.036292824894189835,), (0.04525082930922508,)]	Running Time: 0.932708
[(0.03551420569419861,), (0.045316919684410095,)]	Running Time: 0.940386
[(0.035398293286561966,), (0.04506152495741844,)]	Running Time: 0.948860
[(0.036290232092142105,), (0.04507753998041153,)]	Running Time: 0.956957
[(0.03629966080188751,), (0.04507403075695038,)]	Running Time: 0.966044
[(0.03629802539944649,), (0.04507499188184738,)]	Running Time: 0.973726
[(0.036298755556344986,), (0.045070283114910126,)]	Running Time: 0.981654
[(0.03629491850733757,), (0.04521056264638901,)]	Running Time: 0.992549
[(0.04507799074053764,), (0.03628811612725258,)]	Running Time: 0.998753
[(0.04506448283791542,), (0.036293741315603256,)]	Running Time: 1.010933
[(0.045228779315948486,), (0.035461850464344025,)]	Running Time: 1.015597
[(0.04506945237517357,), (0.03629973903298378,)]	Running Time: 1.023827
[(0.045070257037878036,), (0.03630043938755989,)]	Running Time: 1.032204
[(0.04507383331656456,), (0.036305297166109085,)]	Running Time: 1.040398
[(0.045078426599502563,), (0.036302804946899414,)]	Running Time: 1.048453
[(0.045254115015268326,), (0.035753052681684494,)]	Running Time: 1.057755
[(0.04522924870252609,), (0.035441815853118896,)]	Running Time: 1.065189
[(0.03537316620349884,), (0.04507002606987953,)]	Running Time: 1.085541
[(0.03628946468234062,), (0.04507439583539963,)]	Running Time: 1.090452
[(0.03629625588655472,), (0.045104820281267166,)]	Running Time: 1.098374
[(0.035468317568302155,), (0.04521171376109123,)]	Running Time: 1.106553
